,Unnamed: 0,Country Name,Country Code,2017,total_population,Region,Victims_per_1000_population,Est. number of people in modern slavery,Factor One Governance Issues,Factor Two Nourishment and Access,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,HDI_Rank,Education_Access_Score,gdp_2017,gdp_per_capita
39,69,Estonia,EST,1703867592.55708,1315000.0,Europe and Central Asia,3.6,5000.0,35.2,13.7,27.4,52.2,12.4,29.2,3.7,41.3,2.2,36.1,1.8,43.8,0.0,0.0,5.7,81.0,0.4,18.3,13.7,0.0,48.8,B,33.0,0.858533333,26859101054.0,20425.0
40,70,Ethiopia,ETH,4017159564.65434,99873000.0,Africa,6.1,614000.0,62.4,47.5,27.3,34.6,55.3,64.5,2.5,27.8,3.1,51.1,2.3,56.3,-1.0,0.0,3.3,47.6,0.0,0.0,11.2,-1.0,36.3,CCC,173.0,0.316521973,81770791971.0,819.0
41,73,Finland,FIN,16393910939.5675,5482000.0,Europe and Central Asia,1.7,9000.0,18.6,16.0,15.0,17.8,11.2,8.2,4.8,53.7,3.0,49.4,3.3,81.3,0.0,0.0,5.0,71.4,0.2,8.3,16.2,0.0,57.9,BB,24.0,0.815088889,255123000000.0,46538.0
42,75,France,FRA,37559363019.0513,64457000.0,Europe and Central Asia,2.0,129000.0,17.3,15.4,29.4,21.2,28.5,15.3,3.8,42.4,4.3,71.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.2,0.0,61.5,BBB,20.0,0.815549416,2595150000000.0,40262.0
43,78,Gabon,GAB,1498038420.0471,1930000.0,Africa,4.8,9000.0,56.5,27.1,36.6,47.5,12.4,49.1,2.5,27.8,0.7,11.7,1.3,31.3,0.0,0.0,2.3,33.3,0.0,0.0,6.8,0.0,24.2,CC,112.0,0.589333333,14929488771.0,7735.0
44,79,United Kingdom,GBR,121254600398.257,65397000.0,Europe and Central Asia,2.1,136000.0,15.9,15.6,25.1,12.4,27.8,11.1,7.4,82.0,4.3,73.9,2.5,62.5,0.0,0.0,5.2,73.8,0.5,26.7,20.2,0.0,71.5,BBB*,14.0,0.860260145,2666230000000.0,40770.0
45,80,Georgia,GEO,1902468436.8,3952000.0,Europe and Central Asia,4.3,17000.0,41.5,19.3,33.9,43.9,31.4,39.2,6.7,74.1,3.8,63.9,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.6,0.0,62.8,BBB,79.0,0.770333333,16242916916.0,4110.0
46,81,Ghana,GHA,3254990000.0,27583000.0,Africa,4.8,133000.0,52.6,29.1,42.0,53.7,21.6,52.2,2.2,24.8,2.0,33.3,1.5,37.5,-1.0,0.0,2.8,40.5,0.2,8.3,8.7,-1.0,27.6,CC,138.0,0.552744444,58998132330.0,2139.0
47,83,Guinea,GIN,577590000.0,12092000.0,Africa,7.8,94000.0,68.3,32.4,54.7,46.4,28.6,66.3,0.8,8.7,0.6,10.6,1.5,37.5,-1.0,0.0,3.5,50.0,0.0,0.0,6.4,-1.0,19.3,C,179.0,0.294444733,10336634799.0,855.0
48,85,Guinea-Bissau,GNB,15652439.964706302,1771000.0,Africa,7.5,13000.0,77.8,40.1,47.6,44.1,17.1,70.5,0.7,7.4,1.9,31.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,5.3,0.0,18.9,C,177.0,0.325333333,1346841897.0,760.0
49,86,Equatorial Guinea,GNQ,304074312.3261,1175000.0,Africa,6.4,7000.0,68.4,40.8,36.7,48.5,10.1,61.7,0.3,3.7,0.7,12.2,0.5,12.5,-1.0,0.0,1.8,26.2,0.0,0.0,3.4,-1.0,8.6,D,144.0,0.414911111,12200914930.0,10384.0
50,87,Greece,GRC,3439131879.75518,11218000.0,Europe and Central Asia,7.9,89000.0,38.5,14.4,36.4,56.0,23.6,37.1,6.2,68.5,4.0,66.1,1.8,43.8,0.0,0.0,3.2,45.2,0.4,18.3,15.4,0.0,55.1,BB,29.0,0.796988551,203588000000.0,18148.0
51,90,Guatemala,GTM,998344470.0,16252000.0,Americas,2.9,47000.0,51.0,25.8,58.1,40.9,27.4,52.1,3.8,42.2,1.5,25.6,2.5,62.5,0.0,0.0,4.8,69.0,0.0,0.0,12.7,0.0,45.2,B,125.0,0.483879889,71612352781.0,4406.0
52,92,Guyana,GUY,327343651.21783,769000.0,Americas,2.6,2000.0,49.5,25.6,60.4,28.1,12.4,45.4,3.0,33.1,2.7,44.4,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,9.8,-1.0,31.5,CCC,121.0,0.581655556,3555205811.0,4623.0
53,95,Honduras,HND,949955941.5177801,8961000.0,Americas,3.4,30000.0,55.5,26.5,58.9,36.5,32.7,55.5,2.5,27.6,1.5,25.6,2.5,62.5,0.0,0.0,3.8,54.8,0.0,0.0,10.4,0.0,37.0,CCC,129.0,0.504963149,23136232230.0,2582.0
54,97,Croatia,HRV,476823315.600372,4236000.0,Europe and Central Asia,6.0,25000.0,35.7,20.2,34.1,48.3,12.2,32.7,6.9,77.0,4.7,78.3,2.3,56.3,0.0,0.0,4.8,69.0,0.4,18.3,19.1,0.0,68.2,BBB,47.0,0.770334477,55319605061.0,13059.0
55,98,Haiti,HTI,374855000.0,10711000.0,Americas,5.6,59000.0,62.4,49.7,54.1,56.8,20.1,69.6,4.5,49.6,2.6,42.8,0.8,18.8,0.0,0.0,3.3,47.6,0.0,0.0,11.1,0.0,39.7,CCC,168.0,0.374277778,8409497402.0,785.0
56,99,Hungary,HUN,-12174325328.2763,9784000.0,Europe and Central Asia,3.7,36000.0,23.9,14.8,32.9,48.3,15.5,23.6,5.8,64.8,2.8,47.2,2.3,56.3,0.0,0.0,5.0,71.4,0.4,18.3,16.3,0.0,58.2,BB,43.0,0.804893768,141511000000.0,14464.0
57,104,Indonesia,IDN,20510310832.4469,258162000.0,Asia and the Pacific,4.7,1220000.0,43.7,38.0,35.8,53.3,32.2,50.5,4.3,47.8,3.6,60.0,2.0,50.0,0.0,0.0,4.3,61.9,0.0,0.0,14.2,0.0,50.8,BB,108.0,0.603136041,1015620000000.0,3934.0
58,107,India,IND,39966091358.7384,1309054000.0,Asia and the Pacific,6.1,7989000.0,46.2,29.8,32.4,41.1,80.0,55.5,4.2,46.3,3.2,53.3,2.3,56.3,0.0,0.0,3.2,45.2,0.0,0.0,12.8,0.0,45.7,B,135.0,0.472666667,2652750000000.0,2026.0
59,109,Ireland,IRL,58300808407.7812,4700000.0,Europe and Central Asia,1.7,8000.0,17.2,17.0,24.3,10.9,20.1,10.4,5.9,65.9,2.5,42.2,2.5,62.5,0.0,0.0,4.8,69.0,0.4,18.3,16.2,0.0,57.7,BB,11.0,0.887066667,335663000000.0,71418.0
60,112,Iceland,ISL,-6999892980.93709,330000.0,Europe and Central Asia,2.1,1000.0,20.6,11.7,21.1,4.1,1.8,4.2,4.4,48.7,3.3,54.4,1.5,37.5,0.0,0.0,3.7,52.4,0.2,8.3,13.0,0.0,46.4,B,13.0,0.846866667,24488176540.0,74207.0
61,113,Israel,ISR,18168900000.0,8065000.0,Europe and Central Asia,3.9,31000.0,35.8,19.1,27.5,48.5,38.6,36.4,5.2,57.2,3.4,56.1,1.8,43.8,0.0,0.0,4.3,61.9,0.0,0.0,14.6,0.0,52.1,BB,19.0,0.85426783,353253000000.0,43801.0
62,114,Italy,ITA,11138429977.1854,59504000.0,Europe and Central Asia,2.4,145000.0,31.7,14.4,45.4,31.0,19.3,28.3,5.3,58.3,4.7,78.9,2.0,50.0,-1.0,0.0,5.8,83.3,0.5,26.7,18.4,-1.0,62.0,BBB,26.0,0.789505799,1961800000000.0,32969.0
63,115,Jamaica,JAM,888835228.478601,2872000.0,Americas,2.6,7000.0,39.5,24.2,62.2,47.8,15.5,44.2,4.6,50.6,4.4,72.8,3.0,75.0,0.0,0.0,4.5,64.3,0.0,0.0,16.4,0.0,58.6,BB,96.0,0.668355556,14806340821.0,5155.0
64,116,Jordan,JOR,2029718309.85915,9159000.0,Arab States,1.8,17000.0,57.9,15.7,41.8,47.4,26.2,49.9,4.3,48.1,2.6,42.8,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,10.8,0.0,38.6,CCC,77.0,0.699725098,40708943662.0,4445.0
65,117,Japan,JPN,18802251208.1069,127975000.0,Asia and the Pacific,0.3,37000.0,21.5,13.1,15.5,31.9,17.8,13.8,3.9,43.5,2.7,44.4,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,11.3,-1.0,36.6,CCC,17.0,0.808,4866860000000.0,38030.0
66,118,Kazakhstan,KAZ,4712631470.52606,17750000.0,Europe and Central Asia,4.2,75000.0,60.4,14.5,25.1,38.2,19.5,43.3,3.9,42.8,3.0,50.0,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,10.2,-1.0,32.8,CCC,70.0,0.762266667,166806000000.0,9398.0
67,119,Kenya,KEN,671488392.8923299,47236000.0,Africa,6.9,328000.0,55.1,48.7,49.6,44.5,66.8,70.6,3.2,35.7,2.3,38.9,1.5,37.5,-1.0,0.0,4.2,59.5,0.0,0.0,11.2,-1.0,36.5,CCC,147.0,0.514555556,78965004656.0,1672.0
68,121,Cambodia,KHM,2788084321.65816,15518000.0,Asia and the Pacific,16.8,261000.0,66.3,38.5,41.6,56.7,14.8,63.5,3.6,40.4,2.8,46.7,1.8,43.8,0.0,0.0,2.3,33.3,0.0,0.0,10.5,0.0,37.6,CCC,136.0,0.495177778,22177200512.0,1429.0
69,125,Kuwait,KWT,113012065.007347,3936000.0,Arab States,1.5,6000.0,59.7,20.1,29.3,29.3,28.5,45.9,2.6,28.7,2.0,33.9,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,8.8,-1.0,27.8,CC,46.0,0.645787499,120707000000.0,30667.0
70,128,Lebanon,LBN,2522409653.4,5851000.0,Arab States,1.7,10000.0,59.1,22.6,48.1,44.8,47.8,58.9,3.1,33.9,1.8,30.0,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,8.8,0.0,31.3,CCC,65.0,0.630576124,53140638269.0,9082.0
71,129,Liberia,LBR,247842983.01405,4500000.0,Africa,7.4,33000.0,55.0,44.0,44.1,54.9,18.2,59.3,2.5,28.0,1.6,26.7,1.3,31.3,0.0,0.0,3.5,50.0,0.0,0.0,8.9,0.0,31.7,CCC,175.0,0.367244444,3285455000.0,730.0
72,130,Libya,LBY,0.0,6235000.0,Africa,7.7,48000.0,81.4,23.0,49.6,28.1,63.1,73.1,0.0,0.0,1.3,21.7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.3,-2.0,-2.5,D,55.0,0.697888889,37883243650.0,6076.0
73,136,Sri Lanka,LKA,1372723043.1340199,20714000.0,Asia and the Pacific,2.1,44000.0,44.1,27.0,33.5,34.9,35.9,42.5,2.4,26.7,2.6,42.8,1.0,25.0,-1.0,0.0,5.5,78.6,0.0,0.0,11.5,-1.0,37.4,CCC,73.0,0.737777778,87428125558.0,4221.0
74,139,Lesotho,LSO,123091950.447623,2175000.0,Africa,4.2,9000.0,53.8,50.7,44.6,41.9,18.6,58.3,3.2,35.9,2.2,37.2,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,10.7,0.0,38.3,CCC,162.0,0.504158407,2405289382.0,1106.0
75,141,Lithuania,LTU,1191438300.52159,2932000.0,Europe and Central Asia,5.8,17000.0,29.2,15.4,35.6,46.3,9.7,26.2,4.2,46.3,3.8,62.8,2.8,68.8,0.0,0.0,5.5,78.6,0.4,18.3,16.6,0.0,59.1,BB,35.0,0.876659891,47750908128.0,16286.0
76,142,Luxembourg,LUX,-6798512508.4517,567000.0,Europe and Central Asia,1.5,1000.0,17.7,13.7,24.5,12.1,14.3,8.4,4.3,47.4,2.0,33.9,2.8,68.8,0.0,0.0,3.5,50.0,0.2,8.3,12.7,0.0,45.4,B,21.0,0.762111044,64181944723.0,113196.0
77,143,Latvia,LVA,1136438829.79794,1993000.0,Europe and Central Asia,3.9,8000.0,31.7,15.9,23.8,44.0,10.3,24.6,4.2,47.0,3.7,61.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.1,0.0,60.9,BBB,48.0,0.813187844,30273007510.0,15190.0
78,146,Morocco,MAR,2680109856.21237,34803000.0,Africa,2.4,85000.0,60.7,18.8,38.1,35.7,22.0,48.3,0.6,6.5,3.4,56.7,1.3,31.3,0.0,0.0,5.0,71.4,0.0,0.0,10.2,0.0,36.5,CCC,129.0,0.467855556,109714000000.0,3152.0
79,149,Madagascar,MDG,464856589.64880896,24234000.0,Africa,7.5,182000.0,54.4,46.8,51.0,56.8,17.3,62.0,3.5,38.7,3.2,52.8,0.8,18.8,-1.0,-1.0,3.5,50.0,0.0,0.0,10.9,-2.0,31.8,CCC,155.0,0.458425611,13176313233.0,544.0
80,152,Mexico,MEX,32977774274.0,125891000.0,Americas,2.7,341000.0,47.3,23.7,59.0,37.8,68.8,57.3,4.8,53.7,3.8,62.8,2.3,56.3,-1.0,0.0,4.8,69.0,0.0,0.0,15.7,-1.0,52.4,BB,71.0,0.637833108,1157740000000.0,9196.0
81,156,Mali,MLI,559362392.0998678,17468000.0,Africa,3.6,62000.0,55.3,24.4,35.5,35.9,66.3,55.9,3.5,38.9,2.1,35.6,2.0,50.0,0.0,-1.0,2.0,28.6,0.0,0.0,9.6,-1.0,30.8,CCC,176.0,0.305180943,15375605992.0,880.0
