,country,total_population,Region,victims_per_1000_population,Est. number of people in modern slavery,factor_one_governance_issues,Factor Two Nourishment and Access,factor_three_inequality,Factor Four Disenfranchised Groups,factor_five_effects_of_conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,criminal_justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,education_access_score,hdi_rank,gdp_per_capita,gdp_per_capita2
53,Gabon,1930000.0,Africa,4.8,9000.0,56.5,27.1,36.6,47.5,12.4,49.1,2.5,27.8,0.7,11.7,1.3,31.3,0.0,0.0,2.3,33.3,0.0,0.0,6.8,0.0,24.2,CC,0.589333333,112.0,7735.0,59830225.0
54,Indonesia,258162000.0,Asia and the Pacific,4.7,1220000.0,43.7,38.0,35.8,53.3,32.2,50.5,4.3,47.8,3.6,60.0,2.0,50.0,0.0,0.0,4.3,61.9,0.0,0.0,14.2,0.0,50.8,BB,0.603136041,108.0,3934.0,15476356.0
55,Tajikistan,8549000.0,Europe and Central Asia,4.5,39000.0,67.4,30.9,32.8,27.8,30.1,55.8,3.5,38.9,2.2,36.1,1.8,43.8,-1.0,0.0,2.8,40.5,0.0,0.0,10.3,-1.0,33.0,CCC,0.639444444,133.0,837.0,700569.0
56,Burkina Faso,18111000.0,Africa,4.5,82000.0,58.4,31.6,40.3,35.2,26.2,53.1,3.4,38.1,1.8,30.0,1.8,43.8,0.0,0.0,3.0,42.9,0.0,0.0,10.0,0.0,35.7,CCC,0.250033333,181.0,782.0,611524.0
57,Bulgaria,7177000.0,Europe and Central Asia,4.5,32000.0,33.0,14.7,43.3,44.1,17.4,31.3,5.4,59.8,3.0,49.4,2.3,56.3,0.0,0.0,4.7,66.7,0.4,18.3,15.6,0.0,55.8,BB,0.749407205,58.0,8214.0,67469796.0
58,Azerbaijan,9617000.0,Europe and Central Asia,4.5,43000.0,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28.0,4.3,71.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,13.5,0.0,48.2,B,0.699777778,76.0,4249.0,18054001.0
59,Georgia,3952000.0,Europe and Central Asia,4.3,17000.0,41.5,19.3,33.9,43.9,31.4,39.2,6.7,74.1,3.8,63.9,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.6,0.0,62.8,BBB,0.770333333,79.0,4110.0,16892100.0
60,Romania,19877000.0,Europe and Central Asia,4.3,86000.0,35.8,19.5,32.6,52.0,16.1,33.9,4.8,53.3,3.1,52.2,2.0,50.0,-1.0,0.0,3.0,42.9,0.4,18.3,13.3,-1.0,43.9,B,0.747894287,54.0,10650.0,113422500.0
61,Cyprus,1161000.0,Europe and Central Asia,4.2,5000.0,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0.0,0.0,4.3,61.9,0.4,18.3,17.8,0.0,63.4,BBB,0.776198377,32.0,19499.0,380211001.0
62,Kazakhstan,17750000.0,Europe and Central Asia,4.2,75000.0,60.4,14.5,25.1,38.2,19.5,43.3,3.9,42.8,3.0,50.0,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,10.2,-1.0,32.8,CCC,0.762266667,70.0,9398.0,88322404.0
63,Lesotho,2175000.0,Africa,4.2,9000.0,53.8,50.7,44.6,41.9,18.6,58.3,3.2,35.9,2.2,37.2,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,10.7,0.0,38.3,CCC,0.504158407,162.0,1106.0,1223236.0
64,Dominican Republic,10528000.0,Americas,4.0,42000.0,42.5,28.7,46.1,38.8,21.8,43.1,6.2,69.1,4.7,78.3,1.5,37.5,-1.0,0.0,4.8,69.0,0.0,0.0,17.3,-1.0,58.0,BB,0.590170542,102.0,7599.0,57744801.0
65,Latvia,1993000.0,Europe and Central Asia,3.9,8000.0,31.7,15.9,23.8,44.0,10.3,24.6,4.2,47.0,3.7,61.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.1,0.0,60.9,BBB,0.813187844,48.0,15190.0,230736100.0
66,Israel,8065000.0,Europe and Central Asia,3.9,31000.0,35.8,19.1,27.5,48.5,38.6,36.4,5.2,57.2,3.4,56.1,1.8,43.8,0.0,0.0,4.3,61.9,0.0,0.0,14.6,0.0,52.1,BB,0.85426783,19.0,43801.0,1918527601.0
67,Cuba,11461000.0,Americas,3.8,43000.0,60.2,25.9,37.6,47.8,17.3,52.4,1.2,13.0,0.9,15.0,0.8,18.8,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.8,CC,0.742877778,44.0,8450.0,71402500.0
68,Bangladesh,161201000.0,Asia and the Pacific,3.7,592000.0,54.1,38.4,25.7,20.9,45.3,50.0,3.9,43.1,3.8,63.3,2.8,68.8,-1.0,0.0,3.0,42.9,0.0,0.0,13.4,-1.0,44.4,B,0.446880445,142.0,1549.0,2399401.0
69,Hungary,9784000.0,Europe and Central Asia,3.7,36000.0,23.9,14.8,32.9,48.3,15.5,23.6,5.8,64.8,2.8,47.2,2.3,56.3,0.0,0.0,5.0,71.4,0.4,18.3,16.3,0.0,58.2,BB,0.804893768,43.0,14464.0,209207296.0
70,Estonia,1315000.0,Europe and Central Asia,3.6,5000.0,35.2,13.7,27.4,52.2,12.4,29.2,3.7,41.3,2.2,36.1,1.8,43.8,0.0,0.0,5.7,81.0,0.4,18.3,13.7,0.0,48.8,B,0.858533333,33.0,20425.0,417180625.0
71,Mali,17468000.0,Africa,3.6,62000.0,55.3,24.4,35.5,35.9,66.3,55.9,3.5,38.9,2.1,35.6,2.0,50.0,0.0,-1.0,2.0,28.6,0.0,0.0,9.6,-1.0,30.8,CCC,0.305180943,176.0,880.0,774400.0
72,Botswana,2209000.0,Africa,3.4,8000.0,43.3,37.9,37.3,37.6,9.7,42.1,2.9,32.2,2.7,45.6,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,10.3,-1.0,33.2,CCC,0.619,109.0,7879.0,62078641.0
73,Singapore,5535000.0,Asia and the Pacific,3.4,19000.0,30.8,16.3,5.0,18.7,9.0,13.4,3.6,40.0,1.3,22.2,1.3,31.3,0.0,0.0,3.0,42.9,0.0,0.0,9.2,0.0,32.8,CCC,0.767777778,9.0,61764.0,3814791696.0
74,Bosnia and Herzegovina,3536000.0,Europe and Central Asia,3.4,12000.0,52.0,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1.0,25.0,-1.0,0.0,5.3,76.2,0.0,0.0,14.6,-1.0,48.6,B,0.655318208,86.0,5113.0,26142769.0
75,Honduras,8961000.0,Americas,3.4,30000.0,55.5,26.5,58.9,36.5,32.7,55.5,2.5,27.6,1.5,25.6,2.5,62.5,0.0,0.0,3.8,54.8,0.0,0.0,10.4,0.0,37.0,CCC,0.504963149,129.0,2582.0,6666724.0
76,Poland,38265000.0,Europe and Central Asia,3.4,128000.0,24.5,13.7,27.5,59.6,13.6,24.4,4.8,53.3,2.5,42.2,2.8,68.8,0.0,0.0,4.8,69.0,0.2,8.3,15.1,0.0,53.9,BB,0.824699932,35.0,13756.0,189227536.0
77,Serbia,8851000.0,Europe and Central Asia,3.3,30000.0,39.1,15.2,31.6,40.9,27.5,33.9,5.8,63.9,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.3,0.0,61.9,BBB,0.695444444,77.0,4985.0,24850225.0
78,Namibia,2426000.0,Africa,3.3,8000.0,44.6,38.4,55.9,38.8,10.4,48.1,3.1,34.1,1.7,27.8,0.8,18.8,0.0,0.0,3.8,54.8,0.0,0.0,9.3,0.0,33.3,CCC,0.520188889,127.0,5252.0,27583504.0
79,Trinidad and Tobago,1360000.0,Americas,3.0,4000.0,38.6,13.0,62.4,47.8,13.7,39.1,6.1,67.2,3.0,50.0,1.3,31.3,-1.0,0.0,4.7,66.7,0.0,0.0,15.0,-1.0,49.9,B,0.700320689,64.0,16526.0,273108676.0
80,Guatemala,16252000.0,Americas,2.9,47000.0,51.0,25.8,58.1,40.9,27.4,52.1,3.8,42.2,1.5,25.6,2.5,62.5,0.0,0.0,4.8,69.0,0.0,0.0,12.7,0.0,45.2,B,0.483879889,125.0,4406.0,19412836.0
81,Nicaragua,6082000.0,Americas,2.9,18000.0,48.2,24.5,43.3,35.3,22.8,43.9,3.1,34.4,4.2,70.0,1.0,25.0,0.0,0.0,4.7,66.7,0.0,0.0,13.0,0.0,46.3,B,0.4839,132.0,2267.0,5139289.0
82,Czech Republic,10604000.0,Europe and Central Asia,2.9,31000.0,25.1,13.9,21.0,37.1,18.2,19.1,4.2,47.0,3.3,54.4,3.3,81.3,0.0,0.0,3.5,50.0,0.6,28.3,14.8,0.0,52.9,BB,0.866222222,28.0,20362.0,414611044.0
83,Senegal,14977000.0,Africa,2.9,43000.0,43.9,34.8,35.6,41.0,30.9,46.2,4.5,49.6,2.6,43.9,2.3,56.3,0.0,0.0,3.8,54.8,0.0,0.0,13.2,0.0,47.1,B,0.367811111,163.0,1402.0,1965604.0
